2019-07-18,14.5,15.94,12.86,13.5,13.5,1241200
2019-07-19,13.5,13.5,12.05,12.55,12.55,330400
2019-07-22,12.32,12.95,12.21,12.8,12.8,147100
2019-07-23,12.93,13.402,12.26,13.01,13.01,152200
2019-07-24,12.95,13.39,12.32,13.25,13.25,93000
2019-07-25,13.25,13.3,12.806,13.25,13.25,18300
2019-07-26,13.25,14.14,13.2,14.14,14.14,84000
2019-07-29,14.15,14.99,12.37,14.89,14.89,108700
2019-07-30,14.9,14.9,14.51,14.75,14.75,21500
2019-07-31,13.648,14.48,13.58,13.85,13.85,34300
2019-08-01,14.04,14.99,13.708,14.74,14.74,40600
2019-08-02,14.62,14.62,12.3,12.84,12.84,59900
2019-08-05,12.94,13.29,12.38,12.45,12.45,44700
2019-08-06,12.61,12.98,12.0,12.49,12.49,30400
2019-08-07,12.42,12.85,12.048,12.05,12.05,32300
2019-08-08,12.39,12.5,11.438,12.5,12.5,55600
2019-08-09,12.1,12.3,11.25,11.62,11.62,54400
2019-08-12,11.86,12.55,10.99,11.15,11.15,116700
2019-08-13,11.29,12.264,11.096,11.31,11.31,59700
2019-08-14,11.3,11.455,10.08,10.15,10.15,53200
2019-08-15,10.09,10.38,9.25,9.26,9.26,41700
2019-08-16,9.55,9.55,8.19,9.04,9.04,39300
2019-08-19,9.38,11.41,9.02,10.96,10.96,135800
2019-08-20,10.79,11.81,10.15,11.49,11.49,100800
2019-08-21,11.21,11.565,10.67,11.36,11.36,84500
2019-08-22,11.31,11.75,10.71,11.61,11.61,68500
2019-08-23,11.47,11.47,10.1,10.14,10.14,71800
2019-08-26,10.4,11.03,9.84,11.03,11.03,33400
2019-08-27,10.86,11.5,9.98,10.87,10.87,54500
2019-08-28,10.71,10.71,9.785,10.09,10.09,39700
2019-08-29,10.26,11.0,9.9,10.92,10.92,46700
2019-08-30,10.99,10.99,10.181,10.76,10.76,55700
2019-09-03,10.8,11.25,10.0,10.41,10.41,138100
2019-09-04,10.67,11.09,10.245,10.99,10.99,80100
2019-09-05,11.15,11.79,10.633,11.43,11.43,137400
2019-09-06,11.69,11.99,11.068,11.97,11.97,81600
2019-09-09,12.29,12.29,11.22,11.64,11.64,16100
2019-09-10,11.45,11.645,10.785,11.2,11.2,63200
2019-09-11,11.02,11.95,10.35,11.41,11.41,38300
2019-09-12,11.5,12.05,10.41,10.85,10.85,20600
2019-09-13,10.95,11.0,9.75,10.0,10.0,21800
2019-09-16,9.88,9.88,8.7,9.13,9.13,43900
2019-09-17,9.18,9.98,8.91,9.45,9.45,21200
2019-09-18,9.64,9.793,8.72,8.89,8.89,34500
2019-09-19,9.14,9.14,8.4,8.55,8.55,51800
2019-09-20,8.56,9.905,8.56,8.67,8.67,341800
2019-09-23,9.0,9.6,8.23,8.68,8.68,44200
2019-09-24,8.63,9.42,7.53,7.76,7.76,110900
2019-09-25,7.88,8.078,7.18,7.55,7.55,97700
2019-09-26,7.46,7.85,7.33,7.69,7.69,29800
2019-09-27,7.68,7.815,7.337,7.6,7.6,23700
2019-09-30,7.53,7.615,6.5,6.64,6.64,55100
2019-10-01,6.5,7.534,6.5,6.7,6.7,84600
2019-10-02,6.59,7.079,6.5,6.59,6.59,20400
2019-10-03,6.86,6.95,6.27,6.48,6.48,85900
2019-10-04,6.41,6.77,6.41,6.67,6.67,31100
2019-10-07,6.81,6.81,6.15,6.46,6.46,71500
2019-10-08,6.35,6.37,5.64,5.77,5.77,74200
2019-10-09,5.83,5.83,5.1,5.26,5.26,37400
2019-10-10,5.24,5.68,5.12,5.33,5.33,34100
2019-10-11,5.37,5.634,5.24,5.29,5.29,29200
2019-10-14,5.24,5.55,5.03,5.1,5.1,88900
2019-10-15,5.07,5.35,4.85,4.96,4.96,44000
2019-10-16,4.9,5.283,4.655,4.77,4.77,37900
2019-10-17,4.78,5.04,4.6,4.72,4.72,21300
2019-10-18,4.68,5.0,4.5,4.57,4.57,44700
