2018-07-19,26.0,27.0,24.110001,24.75,24.75,1939000
2018-07-20,24.66,26.879998999999998,24.5,26.389999,26.389999,443500
2018-07-23,26.379998999999998,27.76,25.52,26.98,26.98,172200
2018-07-24,27.32,27.389999,25.48,26.25,26.25,60400
2018-07-25,26.1,26.24,25.059998999999998,25.299999,25.299999,66100
2018-07-26,25.34,25.5,25.0,25.15,25.15,98000
2018-07-27,25.5,25.84,24.5,24.93,24.93,65000
2018-07-30,24.82,26.42,24.5,24.67,24.67,25700
2018-07-31,25.01,26.360001,24.5,26.02,26.02,57600
2018-08-01,26.5,26.5,25.360001,26.08,26.08,33400
2018-08-02,26.5,26.5,25.4,25.43,25.43,24300
2018-08-03,25.139999,26.389999,25.139999,25.35,25.35,10100
2018-08-06,25.4,26.5,25.4,25.5,25.5,66200
2018-08-07,26.0,26.120001000000002,25.32,25.48,25.48,19700
2018-08-08,25.66,26.389999,25.559998999999998,25.76,25.76,21800
2018-08-09,25.83,26.0,25.34,25.870001000000002,25.870001000000002,7500
2018-08-10,25.65,26.700001,25.65,26.549999,26.549999,37700
2018-08-13,26.76,27.57,25.93,27.219998999999998,27.219998999999998,120500
2018-08-14,27.700001,27.700001,25.49,25.67,25.67,137100
2018-08-15,25.51,26.48,25.049999,26.48,26.48,126000
2018-08-16,26.280001000000002,26.459999,25.620001000000002,26.219998999999998,26.219998999999998,39200
2018-08-17,26.389999,27.07,25.74,26.440001000000002,26.440001000000002,51600
2018-08-20,26.33,26.639999,25.049999,25.24,25.24,35600
2018-08-21,25.34,25.9,24.75,25.15,25.15,47500
2018-08-22,25.09,25.98,24.700001,24.99,24.99,60600
2018-08-23,25.370001000000002,25.690001000000002,24.5,25.190001000000002,25.190001000000002,24900
2018-08-24,24.9,25.549999,24.870001000000002,25.469998999999998,25.469998999999998,8300
2018-08-27,25.559998999999998,26.49,25.219998999999998,25.51,25.51,15800
2018-08-28,25.68,26.27,25.23,26.0,26.0,5500
2018-08-29,25.98,26.98,25.889999,26.66,26.66,24300
2018-08-30,26.799999,30.709999,26.360001,27.700001,27.700001,65900
2018-08-31,27.33,29.219998999999998,26.799999,27.75,27.75,59900
2018-09-04,27.75,29.280001000000002,27.27,28.25,28.25,66500
2018-09-05,28.139999,29.059998999999998,26.15,27.02,27.02,42200
2018-09-06,27.030001000000002,27.5,25.68,26.48,26.48,25400
2018-09-07,26.33,27.51,26.18,26.639999,26.639999,16300
2018-09-10,26.68,26.870001000000002,25.889999,26.1,26.1,20600
2018-09-11,26.1,27.0,25.15,26.1,26.1,37000
2018-09-12,26.1,26.940001000000002,26.030001000000002,26.77,26.77,6200
2018-09-13,26.91,26.91,26.1,26.299999,26.299999,12000
2018-09-14,26.370001000000002,26.49,25.5,25.84,25.84,71000
2018-09-17,25.780001000000002,26.4,25.049999,25.48,25.48,13800
2018-09-18,25.77,25.98,23.549999,24.379998999999998,24.379998999999998,98600
2018-09-19,24.459999,25.129998999999998,23.58,24.0,24.0,43100
2018-09-20,24.02,25.0,22.030001000000002,23.65,23.65,22500
2018-09-21,23.66,24.9,23.66,24.299999,24.299999,11300
2018-09-24,24.219998999999998,24.9,23.5,23.5,23.5,8100
2018-09-25,23.57,24.5,23.57,24.34,24.34,6700
2018-09-26,24.15,24.5,23.75,24.049999,24.049999,7600
2018-09-27,24.040001,24.15,22.719998999999998,23.35,23.35,20500
2018-09-28,23.610001,24.290001,23.309998999999998,24.1,24.1,23100
2018-10-01,23.940001000000002,24.73,23.799999,24.07,24.07,57600
2018-10-02,24.1,24.99,23.940001000000002,24.040001,24.040001,48700
2018-10-03,24.08,24.51,23.68,23.709999,23.709999,47500
2018-10-04,23.6,24.059998999999998,23.25,23.440001000000002,23.440001000000002,41000
2018-10-05,23.43,24.48,23.209999,23.75,23.75,19200
2018-10-08,23.950001,24.450001,23.32,23.49,23.49,51500
2018-10-09,23.4,24.1,23.4,23.74,23.74,5200
2018-10-10,24.200001,24.200001,22.129998999999998,22.889999,22.889999,57900
2018-10-11,22.76,23.190001000000002,22.25,22.75,22.75,63500
2018-10-12,22.879998999999998,23.940001000000002,22.629998999999998,22.98,22.98,28900
2018-10-15,22.98,24.18,22.639999,22.639999,22.639999,9200
2018-10-16,22.77,24.99,22.77,23.76,23.76,23100
2018-10-17,23.799999,24.26,23.09,24.200001,24.200001,8400
2018-10-18,24.040001,24.33,23.620001000000002,23.66,23.66,3500
2018-10-19,23.76,24.370001000000002,23.76,23.85,23.85,3200
2018-10-22,23.879998999999998,24.629998999999998,23.799999,23.799999,23.799999,1500
2018-10-23,23.690001000000002,23.77,22.49,23.0,23.0,21200
2018-10-24,22.99,23.5,21.200001,22.59,22.59,19600
2018-10-25,22.75,23.34,21.540001,22.15,22.15,50000
2018-10-26,22.049999,22.16,21.030001000000002,21.99,21.99,76400
2018-10-29,22.23,22.389999,20.049999,21.09,21.09,84200
2018-10-30,21.030001000000002,23.82,20.370001000000002,21.540001,21.540001,26300
2018-10-31,21.690001000000002,23.780001000000002,21.440001000000002,22.82,22.82,25100
2018-11-01,22.99,24.0,22.99,23.860001,23.860001,25400
2018-11-02,23.969998999999998,24.76,23.24,24.219998999999998,24.219998999999998,20100
2018-11-05,24.33,25.280001000000002,24.33,25.280001000000002,25.280001000000002,57500
2018-11-06,25.25,25.639999,25.25,25.389999,25.389999,14100
2018-11-07,25.57,26.25,25.0,25.67,25.67,52600
2018-11-08,25.77,26.0,23.91,25.290001,25.290001,14100
2018-11-09,25.190001000000002,25.99,24.309998999999998,25.99,25.99,2700
2018-11-12,25.799999,26.0,24.389999,25.0,25.0,18100
2018-11-13,25.299999,27.4,25.299999,27.0,27.0,67200
2018-11-14,27.4,27.799999,26.440001000000002,27.57,27.57,57800
2018-11-15,27.57,27.75,26.15,27.07,27.07,19400
2018-11-16,27.0,27.0,25.5,26.120001000000002,26.120001000000002,12300
2018-11-19,26.040001,26.440001000000002,23.5,25.360001,25.360001,29000
2018-11-20,25.309998999999998,26.5,25.309998999999998,26.23,26.23,32300
2018-11-21,26.01,26.5,25.23,25.879998999999998,25.879998999999998,14600
