2018-08-08,9.68,9.68,9.66,9.66,9.66,198300
2018-08-09,9.66,9.67,9.66,9.67,9.67,72900
2018-08-10,9.66,9.68,9.66,9.68,9.68,85100
2018-08-13,9.68,9.69,9.65,9.66,9.66,268400
2018-08-14,9.67,9.68,9.66,9.66,9.66,56400
2018-08-15,9.66,9.66,9.66,9.66,9.66,0
2018-08-16,9.66,9.66,9.66,9.66,9.66,0
2018-08-17,9.66,9.66,9.66,9.66,9.66,0
2018-08-20,9.65,9.65,9.65,9.65,9.65,1000
2018-08-21,9.65,9.65,9.65,9.65,9.65,0
2018-08-22,9.65,9.65,9.65,9.65,9.65,0
2018-08-23,9.65,9.65,9.65,9.65,9.65,0
2018-08-24,9.66,9.66,9.65,9.65,9.65,30500
2018-08-27,9.65,9.66,9.65,9.65,9.65,16300
2018-08-28,9.65,9.69,9.63,9.65,9.65,14900
2018-08-29,9.65,9.65,9.65,9.65,9.65,0
2018-08-30,9.69,9.7,9.69,9.7,9.7,10000
2018-08-31,9.7,9.7,9.65,9.65,9.65,1000
2018-09-04,9.65,9.65,9.65,9.65,9.65,169900
2018-09-05,9.65,9.65,9.65,9.65,9.65,0
2018-09-06,9.7,9.7,9.7,9.7,9.7,200
2018-09-07,9.7,9.7,9.7,9.7,9.7,1200
2018-09-10,9.7,9.7,9.7,9.7,9.7,9000
2018-09-11,9.7,9.7,9.7,9.7,9.7,0
2018-09-12,9.7,9.7,9.7,9.7,9.7,0
2018-09-13,9.67,9.68,9.67,9.68,9.68,141200
2018-09-14,9.68,9.68,9.668,9.668,9.668,7100
2018-09-17,9.67,9.67,9.67,9.67,9.67,21200
2018-09-18,9.67,9.67,9.67,9.67,9.67,150000
2018-09-19,9.67,9.67,9.67,9.67,9.67,0
2018-09-20,9.67,9.67,9.67,9.67,9.67,100000
2018-09-21,9.67,9.695,9.67,9.695,9.695,105700
2018-09-24,9.67,9.67,9.67,9.67,9.67,112100
2018-09-25,9.67,9.67,9.665,9.67,9.67,14300
2018-09-26,9.67,9.67,9.67,9.67,9.67,0
2018-09-27,9.67,9.67,9.67,9.67,9.67,41300
2018-09-28,9.67,9.85,9.66,9.67,9.67,160000
2018-10-01,9.7,9.7,9.7,9.7,9.7,5200
2018-10-02,9.7,9.7,9.7,9.7,9.7,0
2018-10-03,9.7,9.7,9.7,9.7,9.7,0
2018-10-04,9.72,9.72,9.72,9.72,9.72,6200
2018-10-05,9.72,9.72,9.72,9.72,9.72,0
2018-10-08,9.72,9.72,9.72,9.72,9.72,0
2018-10-09,9.67,9.68,9.67,9.67,9.67,17000
2018-10-10,9.72,9.722,9.72,9.722,9.722,5300
2018-10-11,9.722,9.722,9.722,9.722,9.722,0
2018-10-12,9.722,9.722,9.722,9.722,9.722,0
2018-10-15,9.722,9.722,9.722,9.722,9.722,0
2018-10-16,9.722,9.722,9.722,9.722,9.722,0
2018-10-17,9.722,9.722,9.722,9.722,9.722,0
2018-10-18,9.722,9.722,9.722,9.722,9.722,0
2018-10-19,9.722,9.722,9.722,9.722,9.722,0
2018-10-22,9.722,9.722,9.722,9.722,9.722,0
2018-10-23,9.722,9.722,9.722,9.722,9.722,0
2018-10-24,9.722,9.722,9.722,9.722,9.722,0
2018-10-25,9.722,9.722,9.722,9.722,9.722,0
2018-10-26,9.722,9.722,9.722,9.722,9.722,0
2018-10-29,9.722,9.722,9.722,9.722,9.722,0
2018-10-30,9.722,9.722,9.722,9.722,9.722,0
2018-10-31,9.722,9.722,9.722,9.722,9.722,0
2018-11-01,9.722,9.722,9.722,9.722,9.722,0
2018-11-02,9.722,9.722,9.722,9.722,9.722,0
2018-11-05,9.722,9.722,9.722,9.722,9.722,100
2018-11-06,9.722,9.722,9.722,9.722,9.722,0
2018-11-07,9.722,9.722,9.722,9.722,9.722,0
2018-11-08,9.722,9.722,9.722,9.722,9.722,0
2018-11-09,9.7,9.704,9.7,9.704,9.704,39700
2018-11-12,9.72,9.72,9.7,9.71,9.71,10100
2018-11-13,9.71,9.71,9.71,9.71,9.71,5900
2018-11-14,9.71,9.73,9.71,9.73,9.73,45900
2018-11-15,9.75,9.76,9.74,9.75,9.75,151100
2018-11-16,9.75,9.75,9.75,9.75,9.75,100
2018-11-19,9.75,9.75,9.75,9.75,9.75,100
2018-11-20,9.8,9.82,9.8,9.8,9.8,6700
2018-11-21,9.8,9.8,9.8,9.8,9.8,100
2018-11-23,9.8,9.8,9.8,9.8,9.8,0
2018-11-26,9.8,9.8,9.8,9.8,9.8,0
2018-11-27,9.8,9.8,9.8,9.8,9.8,0
2018-11-28,9.8,9.8,9.8,9.8,9.8,0
2018-11-29,9.8,9.8,9.8,9.8,9.8,0
2018-11-30,9.8,9.8,9.8,9.8,9.8,0
2018-12-03,9.65,9.65,9.65,9.65,9.65,100
2018-12-04,9.65,9.65,9.65,9.65,9.65,100
2018-12-06,9.65,9.65,9.65,9.65,9.65,205500
2018-12-07,9.65,9.65,9.65,9.65,9.65,0
2018-12-10,9.65,9.65,9.65,9.65,9.65,0
2018-12-11,9.65,9.65,9.65,9.65,9.65,0
2018-12-12,9.65,9.65,9.65,9.65,9.65,0
2018-12-13,9.65,9.65,9.65,9.65,9.65,0
2018-12-14,9.65,9.65,9.65,9.65,9.65,0
2018-12-17,9.65,9.65,9.65,9.65,9.65,0
2018-12-18,9.65,9.65,9.65,9.65,9.65,0
2018-12-19,9.85,9.85,9.85,9.85,9.85,200
2018-12-20,9.85,9.85,9.85,9.85,9.85,0
2018-12-21,9.85,9.85,9.85,9.85,9.85,0
2018-12-24,9.83,9.85,9.83,9.85,9.85,5000
2018-12-26,9.84,9.85,9.77,9.77,9.77,42200
2018-12-27,9.77,9.77,9.77,9.77,9.77,0
2018-12-28,9.77,9.77,9.77,9.77,9.77,0
2018-12-31,9.85,9.9,9.85,9.9,9.9,2900
2019-01-02,9.9,9.9,9.9,9.9,9.9,0
2019-01-03,9.9,9.9,9.9,9.9,9.9,0
2019-01-04,9.9,9.9,9.9,9.9,9.9,100
2019-01-07,9.9,9.9,9.9,9.9,9.9,100
2019-01-08,9.9,9.92,9.8,9.92,9.92,29300
2019-01-09,9.85,9.88,9.85,9.88,9.88,1300
2019-01-10,9.88,9.88,9.88,9.88,9.88,0
2019-01-11,9.9,9.9,9.892,9.9,9.9,7100
2019-01-14,9.92,9.92,9.92,9.92,9.92,1000
