2019-02-07,18.700001,19.5,18.0,18.08,18.08,3626100
2019-02-08,17.719998999999998,17.799999,15.554,16.299999,16.299999,1094100
2019-02-11,16.23,17.5,16.16,17.18,17.18,538600
2019-02-12,17.200001,17.9,17.200001,17.5,17.5,299500
2019-02-13,17.5,19.0,17.5,18.25,18.25,957300
2019-02-14,18.26,18.9,18.0,18.799999,18.799999,337800
2019-02-15,18.9,20.379998999999998,18.700001,19.780001000000002,19.780001000000002,408900
2019-02-19,19.75,22.0,18.941,20.73,20.73,530100
2019-02-20,21.120001000000002,21.83,20.6,20.92,20.92,405800
2019-02-21,21.290001,22.219998999999998,20.879998999999998,21.41,21.41,529300
2019-02-22,21.469998999999998,23.6,20.905001000000002,22.5,22.5,436800
2019-02-25,22.85,23.84,21.18,21.530001000000002,21.530001000000002,254500
2019-02-26,21.52,22.32,19.396,20.620001000000002,20.620001000000002,211400
2019-02-27,20.57,22.809998999999998,19.860001,19.92,19.92,257600
2019-02-28,19.860001,20.99,19.25,19.59,19.59,187900
2019-03-01,19.860001,22.610001,19.799999,21.0,21.0,412500
2019-03-04,21.690001000000002,23.497,20.41,20.860001,20.860001,426400
2019-03-05,21.23,22.003,19.42,21.02,21.02,187500
2019-03-06,21.34,22.225,19.41,19.5,19.5,219900
2019-03-07,19.5,19.75,17.51,17.700001,17.700001,515400
2019-03-08,17.690001000000002,18.790001,16.17,16.610001,16.610001,529800
2019-03-11,16.790001,17.030001000000002,15.16,15.97,15.97,566300
2019-03-12,16.0,17.055,15.97,16.620001000000002,16.620001000000002,343100
2019-03-13,16.629998999999998,16.843,16.02,16.4,16.4,245800
2019-03-14,16.610001,17.629998999999998,16.08,17.35,17.35,307000
2019-03-15,17.610001,18.35,17.309998999999998,18.049999,18.049999,1554500
2019-03-18,17.969998999999998,19.0,17.4,18.809998999999998,18.809998999999998,244300
2019-03-19,18.75,19.84,18.5,19.26,19.26,204000
2019-03-20,19.139999,19.34,18.25,18.9,18.9,465300
2019-03-21,18.75,19.01,17.629998999999998,18.52,18.52,383900
2019-03-22,18.4,18.576,17.85,18.049999,18.049999,217200
2019-03-25,18.16,19.469998999999998,17.91,19.389999,19.389999,72300
2019-03-26,19.42,20.0,18.84,19.360001,19.360001,60900
2019-03-27,18.98,19.32,17.549999,17.73,17.73,147000
2019-03-28,17.67,18.76,17.57,18.040001,18.040001,163900
2019-03-29,18.129998999999998,19.5,17.639999,18.719998999999998,18.719998999999998,298500
2019-04-01,18.9,19.9,18.75,19.809998999999998,19.809998999999998,218000
2019-04-02,19.66,21.5,19.427,21.280001000000002,21.280001000000002,389900
2019-04-03,21.370001000000002,22.93,21.267,22.299999,22.299999,303300
2019-04-04,22.24,23.559998999999998,22.24,23.4,23.4,222200
2019-04-05,23.469998999999998,25.1,23.4,24.059998999999998,24.059998999999998,357000
2019-04-08,24.0,25.905001000000002,23.780001000000002,25.77,25.77,291800
2019-04-09,25.77,26.209999,23.219998999999998,23.48,23.48,585000
2019-04-10,23.389999,24.27,22.422001,24.18,24.18,269500
2019-04-11,24.370001000000002,24.565001000000002,23.597,24.4,24.4,87600
2019-04-12,24.559998999999998,27.0,24.277,26.42,26.42,820800
2019-04-15,26.25,26.4,24.042,24.690001000000002,24.690001000000002,185800
2019-04-16,25.01,25.629998999999998,24.700001,24.9,24.9,72900
2019-04-17,24.92,24.92,21.115,21.530001000000002,21.530001000000002,290000
2019-04-18,21.5,22.5,20.879998999999998,22.469998999999998,22.469998999999998,155500
2019-04-22,22.34,22.5,21.01,21.4,21.4,126500
2019-04-23,21.440001000000002,21.77,21.216,21.219998999999998,21.219998999999998,65000
2019-04-24,21.370001000000002,21.85,20.632,21.59,21.59,136300
2019-04-25,21.719998999999998,21.75,21.110001,21.48,21.48,55900
2019-04-26,21.52,21.52,21.110001,21.360001,21.360001,69300
2019-04-29,21.440001000000002,21.76,20.305,20.700001,20.700001,138000
2019-04-30,20.66,20.870001000000002,19.6,19.860001,19.860001,72100
2019-05-01,19.940001000000002,20.799999,19.35,19.719998999999998,19.719998999999998,103200
2019-05-02,19.790001,20.74,19.35,20.5,20.5,118100
2019-05-03,20.530001000000002,20.530001000000002,19.625999,19.889999,19.889999,81800
2019-05-06,19.58,20.5,19.58,20.26,20.26,70600
2019-05-07,20.09,20.09,18.267,18.74,18.74,67600
2019-05-08,18.73,20.65,18.582001,20.35,20.35,50400
2019-05-09,20.0,20.9,19.42,19.91,19.91,74300
2019-05-10,19.85,20.34,19.209999,20.049999,20.049999,135400
2019-05-13,19.68,20.209999,18.540001,19.82,19.82,209000
2019-05-14,19.43,21.66,19.233999,21.040001,21.040001,163700
2019-05-15,21.42,22.540001,20.445999,21.83,21.83,111800
2019-05-16,21.940001000000002,23.139999,20.620001000000002,20.969998999999998,20.969998999999998,185000
2019-05-17,20.66,20.85,19.695,20.309998999999998,20.309998999999998,147700
2019-05-20,19.92,20.24,19.285,19.610001,19.610001,88400
2019-05-21,19.809998999999998,20.440001000000002,19.549999,19.74,19.74,84600
2019-05-22,19.709999,19.91,18.622,19.530001000000002,19.530001000000002,74200
2019-05-23,19.24,19.421,18.51,18.98,18.98,50200
2019-05-24,19.1,19.799999,18.940001000000002,19.5,19.5,52400
2019-05-28,19.59,19.98,18.58,18.84,18.84,77500
2019-05-29,18.83,19.0,17.549999,17.870001000000002,17.870001000000002,81800
2019-05-30,18.059998999999998,18.068001000000002,17.27,17.35,17.35,83000
