1997-02-07,8.375,8.375,8.375,8.375,1.379689,1100
1997-02-10,8.375,8.375,8.375,8.375,1.379689,0
1997-02-11,8.375,8.375,8.375,8.375,1.379689,0
1997-02-12,8.375,8.375,8.375,8.375,1.379689,0
1997-02-13,8.375,8.375,8.375,8.375,1.379689,0
1997-02-14,8.375,8.375,8.25,8.25,1.3590959999999999,3600
1997-02-18,8.25,8.25,8.25,8.25,1.3590959999999999,0
1997-02-19,8.25,8.25,8.25,8.25,1.3590959999999999,0
1997-02-20,8.25,8.25,8.25,8.25,1.3590959999999999,0
1997-02-21,8.375,8.375,8.375,8.375,1.379689,100
1997-02-24,8.125,8.125,8.125,8.125,1.3385040000000001,300
1997-02-25,8.125,8.125,8.125,8.125,1.3385040000000001,0
1997-02-26,8.125,8.125,7.875,7.875,1.297319,2400
1997-02-27,7.875,7.875,7.875,7.875,1.297319,0
1997-02-28,8.125,8.125,8.0,8.0,1.317911,2900
1997-03-03,8.0,8.0,8.0,8.0,1.317911,0
1997-03-04,8.0,8.0,7.875,7.875,1.297319,1700
1997-03-05,7.875,7.875,7.5,7.625,1.256135,6600
1997-03-06,7.5,7.5,7.375,7.375,1.21495,1800
1997-03-07,7.25,7.25,7.25,7.25,1.194357,1100
1997-03-10,7.125,7.125,7.0,7.0,1.1531719999999999,1600
1997-03-11,6.875,6.875,5.625,6.875,1.13258,37600
1997-03-12,7.0,8.125,7.0,8.125,1.3385040000000001,32100
1997-03-13,8.25,8.875,8.1875,8.375,1.379689,15600
1997-03-14,8.25,8.25,8.25,8.25,1.3590959999999999,900
1997-03-17,8.3125,8.3125,8.125,8.125,1.3385040000000001,2200
1997-03-18,7.875,8.0,7.75,8.0,1.317911,6300
1997-03-19,7.75,7.75,7.25,7.5,1.235542,16400
1997-03-20,7.6875,7.6875,6.625,6.875,1.140181,48200
1997-03-21,7.0,7.0,6.625,7.0,1.1609120000000002,42300
1997-03-24,6.75,7.1875,6.75,7.1875,1.192008,6400
1997-03-25,7.25,7.25,6.75,7.125,1.181642,15000
1997-03-26,7.0625,7.25,7.0625,7.25,1.202373,4200
1997-03-27,7.375,7.375,6.8125,6.875,1.140181,28500
1997-03-31,6.875,6.9375,6.75,6.8125,1.129816,16000
1997-04-01,6.9375,7.0,6.875,7.0,1.1609120000000002,2400
1997-04-02,7.0,7.0,6.875,7.0,1.1609120000000002,8300
1997-04-03,7.125,7.125,6.9375,6.9375,1.150548,5600
1997-04-04,6.875,6.875,6.8125,6.8125,1.129816,6100
1997-04-07,6.8125,7.0,6.8125,6.875,1.140181,6800
1997-04-08,6.875,6.875,6.75,6.75,1.1194520000000001,4500
1997-04-09,7.0625,7.0625,6.75,6.75,1.1194520000000001,11500
1997-04-10,6.8125,6.8125,6.75,6.75,1.1194520000000001,16400
1997-04-11,6.75,7.0,6.75,6.75,1.1194520000000001,13200
1997-04-14,6.6875,7.0,6.625,7.0,1.1609120000000002,14400
1997-04-15,7.125,7.125,7.0,7.0,1.1609120000000002,500
1997-04-16,6.875,7.25,6.875,6.875,1.140181,8100
1997-04-17,6.75,6.875,6.6875,6.875,1.140181,24900
